order_id,returned,return_reason
CMD-2024-12484,Yes,Defective
CMD-2024-11153,Yes,Defective
CMD-2024-14397,Yes,Late Delivery
CMD-2024-11416,Yes,Late Delivery
CMD-2024-10294,Yes,Late Delivery
CMD-2024-13331,Yes,Wrong Item
CMD-2024-10221,Yes,Customer Preference
CMD-2024-14614,Yes,Customer Preference
CMD-2024-14812,Yes,Customer Preference
CMD-2024-12983,Yes,Defective
CMD-2024-11732,Yes,Customer Preference
CMD-2024-12432,Yes,Customer Preference
CMD-2024-12039,Yes,Defective
CMD-2024-14196,Yes,Defective
CMD-2024-14939,Yes,Wrong Item
CMD-2024-14067,Yes,Defective
CMD-2024-12257,Yes,Late Delivery
CMD-2024-11433,Yes,Wrong Item
CMD-2024-11860,Yes,Defective
CMD-2024-10882,Yes,Customer Preference
CMD-2024-13435,Yes,Wrong Item
CMD-2024-12850,Yes,Wrong Item
CMD-2024-10041,Yes,Customer Preference
CMD-2024-12918,Yes,Customer Preference
CMD-2024-14570,Yes,Customer Preference
CMD-2024-14842,Yes,Late Delivery
CMD-2024-14873,Yes,Wrong Item
CMD-2024-12076,Yes,Late Delivery
CMD-2024-13905,Yes,Late Delivery
CMD-2024-11250,Yes,Customer Preference
CMD-2024-13956,Yes,Defective
CMD-2024-14935,Yes,Late Delivery
CMD-2024-13720,Yes,Defective
CMD-2024-11215,Yes,Defective
CMD-2024-10547,Yes,Customer Preference
CMD-2024-13239,Yes,Defective
CMD-2024-10495,Yes,Late Delivery
CMD-2024-14807,Yes,Defective
CMD-2024-12719,Yes,Late Delivery
CMD-2024-12916,Yes,Customer Preference
CMD-2024-12697,Yes,Late Delivery
CMD-2024-10403,Yes,Defective
CMD-2024-12482,Yes,Late Delivery
CMD-2024-12149,Yes,Defective
CMD-2024-12536,Yes,Defective
CMD-2024-11764,Yes,Customer Preference
CMD-2024-10937,Yes,Defective
CMD-2024-14358,Yes,Wrong Item
CMD-2024-13028,Yes,Late Delivery
CMD-2024-10595,Yes,Wrong Item
CMD-2024-11549,Yes,Wrong Item
CMD-2024-14064,Yes,Late Delivery
CMD-2024-10873,Yes,Customer Preference
CMD-2024-14338,Yes,Late Delivery
CMD-2024-10830,Yes,Customer Preference
CMD-2024-11774,Yes,Defective
CMD-2024-14933,Yes,Wrong Item
CMD-2024-10185,Yes,Late Delivery
CMD-2024-10880,Yes,Defective
CMD-2024-11963,Yes,Late Delivery
CMD-2024-13920,Yes,Late Delivery
CMD-2024-11364,Yes,Defective
