order_id,order_date,ship_date,ship_mode,customer_id,segment,region,category,sub_category,sales,quantity,discount,profit
CMD-2024-10024,2024-07-10,2024-07-12,Same Day,CUST-354,Corporate,Île-de-France,Technology,Copiers,42.02,1,0.3,-3.03
CMD-2024-10025,2024-10-03,2024-10-08,First Class,CUST-412,Consumer,Auvergne-Rhône-Alpes,Technology,Phones,31.29,4,0.1,7.83
CMD-2024-10026,2024-06-09,2024-06-13,Second Class,CUST-434,Home Office,Île-de-France,Furniture,Chairs,329.48,4,0.5,-56.32
CMD-2024-10027,2025-04-04,2025-04-06,Same Day,CUST-119,Consumer,Occitanie,Office Supplies,Storage,161.23,3,0.0,25.08
CMD-2024-10028,2024-11-09,2024-11-12,Second Class,CUST-397,Corporate,Occitanie,Office Supplies,Art,107.38,6,0.7,-34.15
CMD-2024-10029,2024-01-22,2024-01-27,Standard Class,CUST-120,Corporate,Occitanie,Technology,Copiers,134.22,2,0.0,59.97
CMD-2024-10030,2024-09-09,2024-09-10,Same Day,CUST-577,Consumer,Occitanie,Furniture,Bookcases,596.75,4,0.0,152.12
CMD-2024-10031,2025-07-14,2025-07-18,Second Class,CUST-571,Consumer,Hauts-de-France,Furniture,Bookcases,546.59,8,0.1,191.12
CMD-2024-10032,2025-04-19,2025-04-24,Same Day,CUST-777,Consumer,Auvergne-Rhône-Alpes,Office Supplies,Envelopes,291.68,5,0.0,52.17
CMD-2024-10033,2024-02-28,2024-03-01,Same Day,CUST-569,Home Office,Hauts-de-France,Furniture,Tables,490.21,4,0.1,137.13
CMD-2024-10034,2025-05-25,2025-05-28,Same Day,CUST-448,Corporate,Hauts-de-France,Office Supplies,Art,99.73,1,0.0,18.38
CMD-2024-10035,2025-11-12,2025-11-13,Same Day,CUST-689,Home Office,Occitanie,Office Supplies,Envelopes,120.56,8,0.1,17.13
CMD-2024-10036,2025-04-20,2025-04-24,Second Class,CUST-485,Home Office,Île-de-France,Technology,Phones,224.26,2,0.0,72.04
CMD-2024-10037,2025-11-30,2025-12-02,Second Class,CUST-645,Consumer,Île-de-France,Office Supplies,Paper,229.98,3,0.0,75.4
CMD-2024-10038,2024-07-08,2024-07-13,Second Class,CUST-545,Home Office,Nouvelle-Aquitaine,Technology,Copiers,159.58,4,0.5,-10.76
CMD-2024-10039,2025-11-17,2025-11-22,Standard Class,CUST-198,Home Office,Auvergne-Rhône-Alpes,Office Supplies,Storage,127.62,1,0.3,8.24
CMD-2024-10040,2025-07-16,2025-07-20,Same Day,CUST-754,Consumer,Nouvelle-Aquitaine,Furniture,Furnishings,956.97,7,0.7,-288.92
CMD-2024-10041,2025-07-20,2025-07-23,Same Day,CUST-154,Consumer,Hauts-de-France,Furniture,Furnishings,393.63,5,0.2,95.93
CMD-2024-10042,2024-08-31,2024-09-02,Second Class,CUST-102,Consumer,Nouvelle-Aquitaine,Office Supplies,Storage,140.6,5,0.2,14.85
CMD-2024-10043,2025-05-19,2025-05-23,Second Class,CUST-431,Corporate,Nouvelle-Aquitaine,Office Supplies,Art,300.86,7,0.1,38.38
CMD-2024-10044,2024-05-10,2024-05-14,Same Day,CUST-534,Corporate,Nouvelle-Aquitaine,Office Supplies,Binders,84.1,3,0.0,16.7
CMD-2024-10045,2025-04-29,2025-05-04,Same Day,CUST-585,Home Office,Auvergne-Rhône-Alpes,Furniture,Tables,38.22,3,0.0,10.32
CMD-2024-10046,2025-10-08,2025-10-12,Standard Class,CUST-318,Home Office,Île-de-France,Office Supplies,Paper,110.6,4,0.0,40.24
CMD-2024-10047,2024-01-21,2024-01-22,Same Day,CUST-310,Corporate,Île-de-France,Furniture,Tables,128.47,3,0.3,-13.78
CMD-2024-10048,2024-06-15,2024-06-16,Second Class,CUST-595,Home Office,Nouvelle-Aquitaine,Office Supplies,Envelopes,18.67,8,0.0,3.52
CMD-2024-10049,2024-09-30,2024-10-02,Standard Class,CUST-760,Consumer,Auvergne-Rhône-Alpes,Furniture,Tables,385.98,6,0.5,-103.51
CMD-2024-10050,2025-01-22,2025-01-26,First Class,CUST-331,Corporate,Île-de-France,Office Supplies,Paper,112.91,6,0.1,26.6
CMD-2024-10051,2025-08-23,2025-08-28,First Class,CUST-699,Home Office,Occitanie,Office Supplies,Envelopes,206.07,1,0.2,8.83
CMD-2024-10052,2024-11-11,2024-11-13,Same Day,CUST-247,Home Office,Île-de-France,Office Supplies,Binders,31.91,1,0.0,6.38
CMD-2024-10053,2024-01-14,2024-01-17,Second Class,CUST-306,Home Office,Île-de-France,Technology,Machines,57.32,8,0.0,18.79
CMD-2024-10054,2024-08-29,2024-09-03,Same Day,CUST-459,Corporate,Auvergne-Rhône-Alpes,Technology,Phones,499.99,1,0.5,-35.8
CMD-2024-10055,2024-12-11,2024-12-14,Second Class,CUST-518,Corporate,Auvergne-Rhône-Alpes,Office Supplies,Storage,221.41,6,0.0,55.27
CMD-2024-10056,2025-07-18,2025-07-20,Second Class,CUST-516,Corporate,Île-de-France,Technology,Machines,675.31,4,0.0,218.44
CMD-2024-10057,2024-12-05,2024-12-06,Second Class,CUST-795,Consumer,Occitanie,Office Supplies,Art,1485.62,4,0.0,266.58
CMD-2024-10058,2024-04-01,2024-04-06,First Class,CUST-652,Home Office,Occitanie,Furniture,Tables,117.3,3,0.0,50.5
CMD-2024-10059,2025-01-01,2025-01-06,Same Day,CUST-281,Home Office,Nouvelle-Aquitaine,Furniture,Tables,93.09,4,0.0,23.37
CMD-2024-10060,2025-03-30,2025-04-01,Same Day,CUST-655,Consumer,Nouvelle-Aquitaine,Office Supplies,Paper,444.98,1,0.1,159.86
CMD-2024-10061,2025-03-03,2025-03-08,First Class,CUST-309,Corporate,Île-de-France,Furniture,Bookcases,1462.49,2,0.1,517.1
CMD-2024-10062,2025-05-23,2025-05-28,Second Class,CUST-349,Corporate,Île-de-France,Furniture,Chairs,233.52,1,0.1,68.57
CMD-2024-10063,2024-02-04,2024-02-06,Standard Class,CUST-611,Corporate,Île-de-France,Furniture,Furnishings,363.8,6,0.0,56.76
CMD-2024-10064,2024-07-24,2024-07-28,Standard Class,CUST-695,Consumer,Occitanie,Furniture,Furnishings,349.86,7,0.3,15.06
CMD-2024-10065,2024-03-21,2024-03-23,First Class,CUST-238,Home Office,Hauts-de-France,Office Supplies,Storage,111.59,2,0.2,-0.44
CMD-2024-10066,2025-07-15,2025-07-20,Standard Class,CUST-330,Consumer,Nouvelle-Aquitaine,Technology,Phones,202.87,3,0.0,84.91
CMD-2024-10067,2025-01-22,2025-01-24,Second Class,CUST-111,Home Office,Nouvelle-Aquitaine,Office Supplies,Binders,408.82,5,0.0,158.17
CMD-2024-10068,2024-01-02,2024-01-07,Second Class,CUST-372,Home Office,Hauts-de-France,Office Supplies,Storage,271.33,7,0.0,119.85
CMD-2024-10069,2025-01-24,2025-01-27,Same Day,CUST-587,Home Office,Île-de-France,Technology,Phones,19.71,4,0.2,3.01
CMD-2024-10070,2025-07-19,2025-07-22,Second Class,CUST-189,Consumer,Nouvelle-Aquitaine,Office Supplies,Envelopes,105.32,4,0.2,13.34
CMD-2024-10071,2024-04-15,2024-04-16,Second Class,CUST-124,Corporate,Occitanie,Furniture,Bookcases,49.33,6,0.5,-7.12
CMD-2024-10072,2025-04-21,2025-04-23,Second Class,CUST-637,Corporate,Hauts-de-France,Technology,Copiers,73.35,1,0.0,19.51
CMD-2024-10073,2025-12-03,2025-12-05,Standard Class,CUST-764,Consumer,Occitanie,Office Supplies,Paper,533.99,1,0.1,107.12
CMD-2024-10074,2025-02-05,2025-02-08,Standard Class,CUST-671,Home Office,Île-de-France,Technology,Copiers,23.27,2,0.0,7.93
CMD-2024-10075,2025-12-30,2026-01-02,First Class,CUST-159,Consumer,Nouvelle-Aquitaine,Technology,Machines,69.61,4,0.0,29.92
CMD-2024-10076,2025-07-09,2025-07-12,First Class,CUST-270,Corporate,Occitanie,Furniture,Bookcases,96.5,7,0.1,23.04
CMD-2024-10077,2024-06-10,2024-06-11,Standard Class,CUST-687,Consumer,Hauts-de-France,Furniture,Tables,226.07,6,0.0,92.04
CMD-2024-10078,2024-07-20,2024-07-21,Same Day,CUST-546,Home Office,Île-de-France,Furniture,Furnishings,183.03,7,0.2,41.88
CMD-2024-10079,2024-09-26,2024-09-30,Same Day,CUST-766,Corporate,Nouvelle-Aquitaine,Office Supplies,Envelopes,69.17,3,0.1,14.92
CMD-2024-10080,2024-09-27,2024-09-29,Standard Class,CUST-791,Home Office,Nouvelle-Aquitaine,Furniture,Bookcases,54.47,1,0.3,-0.86
CMD-2024-10081,2025-03-31,2025-04-01,First Class,CUST-693,Consumer,Île-de-France,Furniture,Chairs,74.45,8,0.0,25.45
CMD-2024-10082,2025-04-06,2025-04-11,Same Day,CUST-109,Home Office,Île-de-France,Technology,Copiers,168.61,7,0.5,-28.03
CMD-2024-10083,2025-12-27,2025-12-29,Second Class,CUST-342,Consumer,Île-de-France,Furniture,Bookcases,84.59,4,0.7,-38.54
CMD-2024-10084,2024-09-08,2024-09-12,Same Day,CUST-277,Corporate,Occitanie,Technology,Phones,663.76,5,0.5,-123.9
CMD-2024-10085,2025-12-02,2025-12-05,Same Day,CUST-356,Corporate,Auvergne-Rhône-Alpes,Technology,Phones,152.14,6,0.2,40.81
CMD-2024-10086,2024-10-22,2024-10-26,Same Day,CUST-409,Corporate,Nouvelle-Aquitaine,Furniture,Chairs,28.33,2,0.3,-2.99
CMD-2024-10087,2025-12-25,2025-12-27,First Class,CUST-615,Home Office,Occitanie,Technology,Phones,302.46,1,0.1,81.36
CMD-2024-10088,2025-12-20,2025-12-23,First Class,CUST-314,Consumer,Hauts-de-France,Technology,Accessories,102.73,1,0.0,41.33
CMD-2024-10089,2024-12-03,2024-12-07,Standard Class,CUST-129,Consumer,Nouvelle-Aquitaine,Technology,Phones,248.16,3,0.2,40.85
CMD-2024-10090,2024-02-22,2024-02-26,Same Day,CUST-445,Consumer,Auvergne-Rhône-Alpes,Office Supplies,Paper,87.15,1,0.2,12.28
CMD-2024-10091,2024-08-04,2024-08-06,First Class,CUST-164,Home Office,Hauts-de-France,Office Supplies,Binders,201.05,6,0.7,-53.83
CMD-2024-10092,2024-07-06,2024-07-07,First Class,CUST-735,Consumer,Nouvelle-Aquitaine,Furniture,Chairs,340.4,4,0.1,64.27
CMD-2024-10093,2025-01-14,2025-01-19,Standard Class,CUST-252,Corporate,Auvergne-Rhône-Alpes,Office Supplies,Binders,593.87,4,0.0,105.36
CMD-2024-10094,2025-05-07,2025-05-11,Second Class,CUST-139,Consumer,Île-de-France,Office Supplies,Binders,81.58,4,0.2,21.11
CMD-2024-10095,2024-02-10,2024-02-15,Second Class,CUST-125,Home Office,Auvergne-Rhône-Alpes,Furniture,Furnishings,104.71,8,0.7,-36.68
CMD-2024-10096,2024-06-05,2024-06-07,Same Day,CUST-372,Corporate,Nouvelle-Aquitaine,Technology,Machines,152.31,5,0.0,53.25
CMD-2024-10097,2024-01-15,2024-01-17,Second Class,CUST-258,Corporate,Auvergne-Rhône-Alpes,Office Supplies,Storage,591.33,5,0.0,182.95
CMD-2024-10098,2024-03-05,2024-03-06,Standard Class,CUST-680,Home Office,Nouvelle-Aquitaine,Office Supplies,Paper,524.64,8,0.1,40.08
CMD-2024-10099,2025-06-04,2025-06-07,First Class,CUST-100,Corporate,Nouvelle-Aquitaine,Furniture,Chairs,35.72,1,0.0,15.57
CMD-2024-10100,2024-12-09,2024-12-14,Second Class,CUST-178,Consumer,Auvergne-Rhône-Alpes,Office Supplies,Storage,46.13,7,0.0,17.89
CMD-2024-10101,2024-05-08,2024-05-12,Same Day,CUST-327,Home Office,Auvergne-Rhône-Alpes,Furniture,Tables,165.53,5,0.0,32.23
CMD-2024-10102,2025-10-09,2025-10-12,Same Day,CUST-426,Consumer,Hauts-de-France,Office Supplies,Art,39.8,7,0.3,6.94
CMD-2024-10103,2025-04-16,2025-04-21,First Class,CUST-657,Home Office,Hauts-de-France,Office Supplies,Storage,108.28,7,0.0,40.18
CMD-2024-10104,2024-03-03,2024-03-08,Same Day,CUST-719,Home Office,Occitanie,Furniture,Bookcases,50.34,5,0.0,14.68
CMD-2024-10105,2024-05-18,2024-05-21,Standard Class,CUST-600,Home Office,Nouvelle-Aquitaine,Office Supplies,Envelopes,237.36,8,0.2,36.41
CMD-2024-10106,2025-05-13,2025-05-16,Second Class,CUST-574,Consumer,Hauts-de-France,Furniture,Chairs,671.85,3,0.5,-180.04
CMD-2024-10107,2025-08-15,2025-08-16,Same Day,CUST-454,Home Office,Occitanie,Office Supplies,Storage,1274.31,5,0.7,-397.43
CMD-2024-10108,2025-01-26,2025-01-30,Second Class,CUST-223,Corporate,Nouvelle-Aquitaine,Office Supplies,Binders,118.49,2,0.0,20.39
CMD-2024-10109,2025-11-05,2025-11-09,First Class,CUST-759,Consumer,Occitanie,Technology,Accessories,216.04,8,0.5,-29.5
CMD-2024-10110,2025-02-22,2025-02-26,Second Class,CUST-523,Home Office,Hauts-de-France,Furniture,Bookcases,441.76,2,0.0,139.51
CMD-2024-10111,2024-10-15,2024-10-18,Standard Class,CUST-351,Home Office,Occitanie,Technology,Accessories,42.49,7,0.2,9.87
CMD-2024-10112,2025-01-13,2025-01-14,First Class,CUST-613,Consumer,Auvergne-Rhône-Alpes,Office Supplies,Art,272.35,2,0.1,75.58
CMD-2024-10113,2025-05-04,2025-05-06,Same Day,CUST-606,Corporate,Occitanie,Furniture,Tables,130.65,1,0.0,29.38
CMD-2024-10114,2024-08-18,2024-08-19,First Class,CUST-585,Corporate,Île-de-France,Office Supplies,Paper,65.79,4,0.1,21.48
CMD-2024-10115,2024-02-10,2024-02-13,Second Class,CUST-577,Home Office,Île-de-France,Technology,Phones,128.39,3,0.0,41.34
CMD-2024-10116,2024-01-28,2024-01-29,Second Class,CUST-682,Home Office,Occitanie,Furniture,Bookcases,32.38,1,0.3,2.0
CMD-2024-10117,2024-05-14,2024-05-17,Second Class,CUST-432,Corporate,Île-de-France,Technology,Accessories,276.53,4,0.0,55.5
CMD-2024-10118,2024-07-19,2024-07-24,Second Class,CUST-708,Home Office,Occitanie,Office Supplies,Envelopes,79.1,3,0.1,25.1
CMD-2024-10119,2024-02-02,2024-02-07,First Class,CUST-331,Corporate,Occitanie,Office Supplies,Envelopes,97.08,7,0.0,41.68
CMD-2024-10120,2024-02-17,2024-02-19,First Class,CUST-641,Corporate,Occitanie,Office Supplies,Storage,43.39,3,0.0,16.6
CMD-2024-10121,2025-05-17,2025-05-22,Second Class,CUST-129,Corporate,Île-de-France,Office Supplies,Art,454.99,3,0.7,-89.99
CMD-2024-10122,2025-02-10,2025-02-12,Same Day,CUST-272,Corporate,Nouvelle-Aquitaine,Office Supplies,Paper,164.63,2,0.2,9.99
CMD-2024-10123,2025-07-27,2025-07-31,First Class,CUST-567,Home Office,Occitanie,Technology,Machines,201.77,2,0.5,-8.41
CMD-2024-10124,2025-12-28,2025-12-31,Standard Class,CUST-575,Consumer,Occitanie,Technology,Phones,200.38,2,0.0,59.45
CMD-2024-10125,2024-04-08,2024-04-12,First Class,CUST-416,Consumer,Auvergne-Rhône-Alpes,Furniture,Bookcases,131.26,3,0.0,26.14
CMD-2024-10126,2025-11-14,2025-11-18,Standard Class,CUST-496,Corporate,Auvergne-Rhône-Alpes,Office Supplies,Paper,62.05,6,0.1,16.17
CMD-2024-10127,2025-12-26,2025-12-28,Same Day,CUST-224,Home Office,Hauts-de-France,Office Supplies,Binders,315.74,8,0.1,83.75
CMD-2024-10128,2025-06-30,2025-07-03,Standard Class,CUST-179,Consumer,Île-de-France,Technology,Machines,44.89,3,0.0,10.6
CMD-2024-10129,2025-09-04,2025-09-06,Standard Class,CUST-795,Consumer,Nouvelle-Aquitaine,Office Supplies,Art,39.13,8,0.2,-0.85
CMD-2024-10130,2025-04-06,2025-04-07,Same Day,CUST-626,Corporate,Occitanie,Office Supplies,Binders,287.44,8,0.0,60.35
CMD-2024-10131,2025-10-04,2025-10-08,Second Class,CUST-622,Corporate,Occitanie,Furniture,Furnishings,66.54,2,0.0,17.96
CMD-2024-10132,2024-01-05,2024-01-08,First Class,CUST-495,Home Office,Île-de-France,Technology,Phones,95.61,3,0.0,19.15
CMD-2024-10133,2024-08-05,2024-08-09,Same Day,CUST-188,Consumer,Hauts-de-France,Technology,Phones,156.85,2,0.1,18.54
CMD-2024-10134,2025-05-17,2025-05-18,Standard Class,CUST-102,Corporate,Hauts-de-France,Furniture,Furnishings,146.26,2,0.2,12.79
CMD-2024-10135,2025-02-01,2025-02-02,Second Class,CUST-635,Corporate,Auvergne-Rhône-Alpes,Office Supplies,Binders,286.26,2,0.1,99.77
CMD-2024-10136,2025-01-27,2025-01-30,First Class,CUST-700,Home Office,Île-de-France,Technology,Copiers,229.86,7,0.1,66.49
CMD-2024-10137,2024-07-25,2024-07-28,Same Day,CUST-620,Corporate,Hauts-de-France,Furniture,Furnishings,242.47,7,0.0,59.63
CMD-2024-10138,2024-01-15,2024-01-16,First Class,CUST-657,Corporate,Hauts-de-France,Office Supplies,Paper,290.43,6,0.5,-4.22
CMD-2024-10139,2025-07-07,2025-07-11,Second Class,CUST-705,Corporate,Nouvelle-Aquitaine,Office Supplies,Binders,91.16,4,0.5,-9.69
CMD-2024-10140,2025-04-05,2025-04-10,First Class,CUST-170,Corporate,Auvergne-Rhône-Alpes,Office Supplies,Envelopes,100.6,8,0.2,10.73
CMD-2024-10141,2025-11-21,2025-11-25,Second Class,CUST-799,Corporate,Auvergne-Rhône-Alpes,Furniture,Chairs,141.77,3,0.0,41.18
CMD-2024-10142,2025-07-28,2025-08-02,Same Day,CUST-238,Home Office,Auvergne-Rhône-Alpes,Technology,Accessories,95.83,1,0.1,17.56
CMD-2024-10143,2024-08-28,2024-08-30,Second Class,CUST-109,Corporate,Hauts-de-France,Office Supplies,Envelopes,938.03,2,0.1,121.85
CMD-2024-10144,2025-07-17,2025-07-20,Same Day,CUST-614,Consumer,Occitanie,Furniture,Tables,385.1,6,0.7,-140.18
CMD-2024-10145,2024-04-05,2024-04-06,Second Class,CUST-630,Corporate,Hauts-de-France,Technology,Copiers,54.58,1,0.7,-17.55
CMD-2024-10146,2025-04-29,2025-05-01,First Class,CUST-229,Corporate,Hauts-de-France,Technology,Copiers,16.23,7,0.3,0.62
CMD-2024-10147,2025-02-10,2025-02-14,Second Class,CUST-500,Consumer,Île-de-France,Furniture,Furnishings,24.62,4,0.0,9.32
CMD-2024-10148,2024-08-18,2024-08-23,Second Class,CUST-320,Consumer,Auvergne-Rhône-Alpes,Technology,Copiers,76.56,3,0.5,-14.73
CMD-2024-10149,2025-10-16,2025-10-19,First Class,CUST-741,Corporate,Auvergne-Rhône-Alpes,Technology,Copiers,41.7,8,0.1,11.47
CMD-2024-10150,2024-06-19,2024-06-24,Standard Class,CUST-536,Home Office,Nouvelle-Aquitaine,Technology,Accessories,182.67,8,0.3,9.76
CMD-2024-10151,2025-06-24,2025-06-28,Second Class,CUST-499,Consumer,Auvergne-Rhône-Alpes,Technology,Copiers,444.42,7,0.0,194.9
CMD-2024-10152,2024-02-05,2024-02-09,Same Day,CUST-212,Home Office,Hauts-de-France,Furniture,Bookcases,308.62,6,0.0,81.96
CMD-2024-10153,2025-06-08,2025-06-09,Second Class,CUST-749,Corporate,Île-de-France,Furniture,Bookcases,68.43,2,0.1,22.61
CMD-2024-10154,2024-06-08,2024-06-10,Standard Class,CUST-551,Corporate,Nouvelle-Aquitaine,Office Supplies,Binders,127.12,2,0.0,50.36
CMD-2024-10155,2025-11-29,2025-12-02,Same Day,CUST-654,Consumer,Hauts-de-France,Technology,Copiers,170.99,8,0.0,58.36
CMD-2024-10156,2024-08-30,2024-08-31,First Class,CUST-317,Consumer,Hauts-de-France,Technology,Machines,380.6,2,0.3,29.06
CMD-2024-10157,2024-03-26,2024-03-31,First Class,CUST-157,Home Office,Nouvelle-Aquitaine,Furniture,Chairs,416.96,8,0.0,73.13
CMD-2024-10158,2025-07-31,2025-08-02,First Class,CUST-212,Corporate,Hauts-de-France,Furniture,Furnishings,544.06,6,0.0,236.7
CMD-2024-10159,2025-11-12,2025-11-15,Same Day,CUST-799,Consumer,Hauts-de-France,Furniture,Chairs,171.6,7,0.0,31.25
CMD-2024-10160,2025-07-10,2025-07-15,Second Class,CUST-221,Consumer,Île-de-France,Furniture,Furnishings,275.72,1,0.0,87.95
CMD-2024-10161,2025-07-27,2025-07-30,Same Day,CUST-507,Consumer,Île-de-France,Office Supplies,Envelopes,41.08,4,0.7,-15.65
CMD-2024-10162,2025-10-07,2025-10-10,Same Day,CUST-559,Home Office,Île-de-France,Technology,Phones,198.28,3,0.0,55.31
CMD-2024-10163,2024-01-28,2024-01-30,Standard Class,CUST-184,Corporate,Auvergne-Rhône-Alpes,Furniture,Chairs,77.91,8,0.0,25.95
CMD-2024-10164,2025-09-11,2025-09-16,Same Day,CUST-717,Consumer,Nouvelle-Aquitaine,Office Supplies,Storage,139.33,4,0.5,-3.81
CMD-2024-10165,2025-07-09,2025-07-10,First Class,CUST-499,Consumer,Île-de-France,Furniture,Tables,236.16,7,0.3,4.08
CMD-2024-10166,2024-12-05,2024-12-06,Same Day,CUST-455,Consumer,Hauts-de-France,Technology,Machines,80.35,2,0.0,35.86
CMD-2024-10167,2024-11-26,2024-11-27,Standard Class,CUST-198,Corporate,Auvergne-Rhône-Alpes,Furniture,Chairs,26.79,4,0.2,3.96
CMD-2024-10168,2025-10-01,2025-10-04,Same Day,CUST-620,Home Office,Nouvelle-Aquitaine,Office Supplies,Storage,17.26,1,0.2,0.31
CMD-2024-10169,2025-05-20,2025-05-24,Same Day,CUST-617,Home Office,Île-de-France,Technology,Machines,19.93,5,0.2,0.54
CMD-2024-10170,2024-12-13,2024-12-15,First Class,CUST-207,Corporate,Île-de-France,Technology,Accessories,16.84,7,0.1,4.63
CMD-2024-10171,2025-04-17,2025-04-18,Same Day,CUST-251,Home Office,Nouvelle-Aquitaine,Technology,Machines,40.73,5,0.7,-18.93
CMD-2024-10172,2024-08-18,2024-08-20,Second Class,CUST-126,Home Office,Île-de-France,Office Supplies,Envelopes,75.23,3,0.0,22.13
CMD-2024-10173,2024-07-08,2024-07-11,First Class,CUST-218,Consumer,Nouvelle-Aquitaine,Technology,Copiers,70.01,3,0.0,13.61
CMD-2024-10174,2024-08-12,2024-08-14,Standard Class,CUST-199,Home Office,Nouvelle-Aquitaine,Office Supplies,Art,967.0,4,0.0,270.73
CMD-2024-10175,2025-01-19,2025-01-20,Standard Class,CUST-102,Consumer,Hauts-de-France,Furniture,Bookcases,95.36,3,0.0,35.76
CMD-2024-10176,2025-01-11,2025-01-12,Standard Class,CUST-428,Home Office,Nouvelle-Aquitaine,Office Supplies,Binders,44.99,7,0.5,-7.3
CMD-2024-10177,2024-10-09,2024-10-12,Same Day,CUST-628,Consumer,Occitanie,Office Supplies,Art,188.51,6,0.1,20.55
CMD-2024-10178,2025-09-24,2025-09-27,Second Class,CUST-205,Corporate,Île-de-France,Furniture,Furnishings,444.36,8,0.0,100.24
CMD-2024-10179,2025-09-19,2025-09-24,First Class,CUST-329,Corporate,Hauts-de-France,Technology,Accessories,264.35,1,0.0,68.8
CMD-2024-10180,2024-09-15,2024-09-18,Second Class,CUST-403,Home Office,Auvergne-Rhône-Alpes,Technology,Accessories,92.24,2,0.0,15.76
CMD-2024-10181,2024-12-24,2024-12-28,Second Class,CUST-276,Consumer,Occitanie,Technology,Accessories,196.43,2,0.5,-24.49
CMD-2024-10182,2025-12-10,2025-12-14,Standard Class,CUST-183,Corporate,Nouvelle-Aquitaine,Office Supplies,Storage,291.05,8,0.1,70.51
CMD-2024-10183,2025-03-31,2025-04-01,Standard Class,CUST-362,Corporate,Auvergne-Rhône-Alpes,Technology,Phones,301.51,4,0.1,23.71
CMD-2024-10184,2025-02-14,2025-02-17,Second Class,CUST-295,Home Office,Auvergne-Rhône-Alpes,Technology,Machines,256.61,2,0.2,23.27
CMD-2024-10185,2025-10-10,2025-10-14,Second Class,CUST-348,Consumer,Auvergne-Rhône-Alpes,Furniture,Furnishings,465.22,4,0.2,43.82
